oldfam,,,,,,,,,,,,,,
54,0.0414,0.004,180.2RGQL,345.2QL,58.2QL,545.2QL,279.2QL,,,,,,,
55,1,0.0051,242.2RGQL,68.2RGQL,126.2RGQL,,,,,,,,,
56,0.9904,0.3544,226.2RGQL,369.2RGQL,258.2RGQL,219.2RGQL,,,,,,,,
57,1,0.0807,548.2RGQL,304.2QL,224.2QL,,,,,,,,,
58,1,0.6016,355.2RGQL,229.2RGQL,452.2RGQL,256.2QL,,,,,,,,
59,1,0.2526,340.2RGQL,77.2RGQL,123.2RGQL,380.2QL,519.2QL,,,,,,,
60,1,0.2482,313.2RGQL,444.2RGQL,446.2RGQL,231.2QL,239.2QL,,,,,,,
61,1,0.7429,153.2RGQL,85.2RGQL,351.2RGQL,334.2RGQL,,,,,,,,
62,1,0.0958,471.2RGQL,158.2RGQL,289.2RGQL,,,,,,,,,
63,0.0429,0.0041,354.2RGQL,538.2RGQL,361.2RGQL,,,,,,,,,
64,1,0.4871,349.2RGQL,500.2RGQL,401.2RGQL,132.2QL,,,,,,,,
65,1,0.2773,31.2RGQL,243.2RGQL,112.2QL,8.2QL,,,,,,,,
66,1,0.139,161.2RGQL,216.2RGQL,330.2RGQL,509.2QL,32.2QL,,,,,,,
67,0.0429,0.0042,430.2RGQL,186.2RGQL,511.2QL,188.2QL,463.2QL,,,,,,,
68,1,0.6737,360.2RGQL,124.2RGQL,198.2RGQL,159.2RGQL,476.2RGQL,214.2QL,,,,,,
69,1,0.1345,215.2RGQL,484.2RGQL,155.2RGQL,154.2QL,,,,,,,,
70,0.0429,0.0048,167.2RGQL,327.2RGQL,287.2RGQL,526.2QL,208.2QL,236.2QL,,,,,,
71,1,0.1016,5.2RGQL,144.2QL,512.2QL,91.2QL,87.2QL,,,,,,,
72,1,0.0291,76.2RGQL,319.2QL,,,,,,,,,,
73,0.7722,0.0732,386.2RGQL,504.2QL,197.2QL,,,,,,,,,
74,1,0.3416,388.2RGQL,106.2QL,156.2QL,218.2QL,253.2QL,321.2QL,,,,,,
75,1,0.0056,152.2RGQL,341.2QL,17.2QL,284.2QL,537.2QL,92.2QL,95.2QL,,,,,
76,0.3339,0.0307,387.2RGQL,379.2RGQL,271.2QL,122.2QL,455.2QL,331.2QL,,,,,,
77,1,0.0987,108.2RGQL,168.2RGQL,281.2QL,399.2QL,491.2QL,,,,,,,
78,1,0.1008,465.2RGQL,252.2RGQL,277.2QL,458.2QL,24.2QL,,,,,,,
79,1,0.2531,318.2RGQL,450.2RGQL,544.2QL,47.2QL,81.2QL,233.2QL,432.2QL,440.2QL,246.2QL,,,
