0.0, (['28.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['28.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '74.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['70.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '76.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['74.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '79.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['76.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['79.1RGSYD8', '91.1RGSYD8'], 2018)
0.0, (['79.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['79.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['79.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['79.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['91.1RGSYD8', '92.1RGSYD8'], 2018)
0.0, (['91.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['91.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['91.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['92.1RGSYD8', '122.1RGSYD8'], 2018)
0.0, (['92.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['92.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['122.1RGSYD8', '123.1RGSYD8'], 2018)
0.0, (['122.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['123.1RGSYD8', '141.1RGSYD8'], 2018)
0.0, (['92.13RGSYD8', '185.13RGSYD8'], 2018)
0.0, (['101.19SYD8', '144.19SYD8'], 2018)
0.0, (['58.14SYD8', '65.14SYD8'], 2018)
0.0, (['58.14SYD8', '104.14SYD8'], 2018)
0.0, (['65.14SYD8', '104.14SYD8'], 2018)
0.0, (['29.14SYD8', '92.14SYD8'], 2018)
0.0, (['69.14SYD8', '125.14SYD8'], 2018)
0.0, (['69.14SYD8', '137.14SYD8'], 2018)
0.0, (['125.14SYD8', '137.14SYD8'], 2018)
2.1645020947526556, (['31.14RGSYD8', '36.14RGSYD8'], 2018)
0.0, (['31.14RGSYD8', '100.14RGSYD8'], 2018)
0.0, (['31.14RGSYD8', '135.14RGSYD8'], 2018)
0.0, (['36.14RGSYD8', '100.14RGSYD8'], 2018)
0.0, (['36.14RGSYD8', '135.14RGSYD8'], 2018)
0.0, (['100.14RGSYD8', '135.14RGSYD8'], 2018)
0.0, (['19.14RGSYD8', '42.14RGSYD8'], 2018)
0.0, (['19.14RGSYD8', '121.14RGSYD8'], 2018)
0.0, (['42.14RGSYD8', '121.14RGSYD8'], 2018)
0.0, (['76.19RGSYD8', '167.18RGSYD8'], 2018)
0.0, (['76.13SYD8', '160.13SYD8'], 2018)
0.0, (['14.15RGSYD8', '36.4RGSYD8'], 2018)
0.0, (['5.15RGSYD8', '42.4RGSYD8'], 2018)
0.0, (['18.4RGSYD8', '21.4RGSYD8'], 2018)
0.0, (['18.4RGSYD8', '43.4RGSYD8'], 2018)
0.0, (['21.4RGSYD8', '43.4RGSYD8'], 2018)
0.0, (['2.4SYD8', '23.4SYD8'], 2018)
0.0, (['2.4SYD8', '31.4SYD8'], 2018)
0.0, (['23.4SYD8', '31.4SYD8'], 2018)
0.0, (['8.4RGSYD8', '48.4RGSYD8'], 2018)
0.0, (['38.17RGSYD8', '56.17RGSYD8'], 2018)
0.0, (['3.4RGSYD8', '12.4RGSYD8'], 2018)
0.0, (['13.4RGSYD8', '56.4RGSYD8'], 2018)
0.0, (['33.4RGSYD8', '44.4RGSYD8'], 2018)
0.0, (['55.4RGSYD8', '63.4RGSYD8'], 2018)
0.0, (['11.4RGSYD8', '25.4RGSYD8'], 2018)
0.0, (['8.1SYD8', '186.6SYD8'], 2018)
0.0, (['54.17RGSYD8', '57.17RGSYD8'], 2018)
0.0, (['84.6SYD8', '98.14SYD8'], 2018)
0.0, (['30.19SYD8', '89.19SYD8'], 2018)
