Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.9874,0.0555,141.18RG,42.13RG,102.18,174.18,63.19,35.2,57.3,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,0.0993,182.19RG,143.13RG,73.12RG,6.19RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,0.0941,32.13RG,17.2RG,44.2RG,175.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.9958,0.1029,127.18RG,69.18RG,46.17,36.17,67.11,15.6,88.6,41.18,123.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.4338,0.0431,113.14RG,63.9,71.9,117.9,64.1,43.6,51.6,57.6,141.6,181.6,71.5,105.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,0.3945,25.2RG,9.12RG,12.18RG,59.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.9874,0.0987,6.17RG,112.13RG,60.7RG,46.2RG,149.12RG,111.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,0.2789,9.19RG,81.18RG,112.19RG,3.18RG,51.19RG,130.19RG,115.19RG,65.18RG,81.19RG,176.19RG,186.19RG,100.18RG,163.18RG,125.19RG,13.19RG,45.18RG,99.19RG,182.18RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,0.0992,50.2RG,145.18RG,124.13RG,9.17RG,66.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,0.0971,27.2RG,170.13RG,95.2RG,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,0.1023,99.13RG,117.2RG,16.2RG,137.6RG,28.19RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,0.0992,86.18RG,13.17RG,3.17RG,44.8RG,54.18RG,111.18,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,0.0985,43.12RG,8.15RG,35.4RG,96.12,174.11,44.7,13.18,92.18,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0.8969,0.0867,19.2RG,119.9RG,69.9RG,50.17,151.12,48.17,154.1,129.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,0.0959,150.12RG,138.6RG,97.14,153.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,0.0972,68.17RG,40.12RG,84.14RG,106.12,119.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0.9859,0.0974,67.19RG,49.12RG,33.13RG,175.19RG,5.12,180.13,79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,0.0985,109.18RG,43.18RG,56.18RG,18.9,23.9,158.19,49.2,109.12,133.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0.9777,0.1228,29.2RG,67.6RG,24.14RG,52.6RG,135.13,63.8,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0.4776,0.0455,51.5RG,14.18RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,0.0912,48.18RG,21.18RG,79.18RG,52.18RG,148.18RG,150.18,144.18,179.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
