(Fila vacia),,,,,,,,,,,,,,,,,,
99,1,0.0996,312.1RG,126.4RG,346.3RG,132.1,19.3,,,,,,,,,,,
100,1,0.1031,146.1RG,28.5RG,105.3,262.3,470.3,,,,,,,,,,,
101,1,0.0965,64.5RG,166.5RG,22.3RG,,,,,,,,,,,,,
102,1,0.0268,163.4RG,523.2RG,123.2RG,361.3,521.2,,,,,,,,,,,
103,1,0.1066,280.5RG,496.3RG,98.4RG,182.2RG,223.3,547.2,,,,,,,,,,
104,1,0.1052,232.4RG,19.4RG,201.1RG,114.1RG,,,,,,,,,,,,
105,0.8153,0.056,54.5RG,396.4RG,301.4,218.2,162.1,,,,,,,,,,,
106,1,0.107,90.1RG,162.3RG,107.5RG,302.2RG,134.5,445.3,,,,,,,,,,
107,1,0.0992,418.4RG,208.4RG,65.4RG,338.2,436.2,,,,,,,,,,,
108,1,0.0903,366.1RG,128.3RG,253.5,,,,,,,,,,,,,
109,1,0.0555,238.5RG,250.2RG,22.5RG,343.4RG,532.2,358.2,328.2,,,,,,,,,
110,1,0.0961,167.3RG,288.5RG,351.5RG,469.3RG,197.1RG,245.2,,,,,,,,,,
111,1,0.0991,272.5RG,270.1RG,252.1,431.2,,,,,,,,,,,,
112,1,0.1229,147.4RG,357.3RG,400.1RG,7.5RG,509.2,,,,,,,,,,,
113,1,0.099,433.4RG,72.2RG,106.1RG,380.3RG,,,,,,,,,,,,
114,1,0.0996,124.1RG,351.2RG,228.4RG,466.1RG,333.4,311.3,,,,,,,,,,
115,1,0.1397,48.3RG,115.1RG,464.1RG,282.4,,,,,,,,,,,,
116,1,0.0912,2.4RG,504.1RG,287.4RG,,,,,,,,,,,,,
117,1,0.0993,55.1RG,292.2RG,446.4RG,150.5RG,349.4,,,,,,,,,,,
118,1,0.0996,141.2RG,317.5RG,380.5RG,16.4RG,344.3RG,309.3,,,,,,,,,,
119,1,0.1005,191.2RG,323.3RG,507.2RG,130.2RG,136.1RG,,,,,,,,,,,
120,1,0.0993,258.5RG,347.2RG,3.4RG,213.3RG,,,,,,,,,,,,
121,1,0.0994,303.4RG,397.4RG,236.4RG,465.2RG,373.1RG,277.2,417.2,,,,,,,,,
122,1,0.0999,175.1RG,322.2RG,61.3,100.1,297.5,360.5,321.2,,,,,,,,,
123,1,0.0999,8.5RG,304.5RG,367.5RG,91.3RG,339.3RG,422.4,,,,,,,,,,
124,0.9502,0.0941,264.1RG,303.1,362.3,112.1,344.5,407.5,,,,,,,,,,
125,1,0.0993,290.1RG,445.4RG,196.1RG,388.3,241.2,,,,,,,,,,,
126,1,0.0992,117.2RG,133.1RG,521.1RG,320.5RG,383.5RG,,,,,,,,,,,
127,1,0.097,146.3RG,328.1RG,267.5,,,,,,,,,,,,,
128,1,0.0979,252.5RG,293.5RG,356.5RG,57.2RG,127.3,251.3,330.3,,,,,,,,,
129,1,0.0996,127.2RG,259.1RG,50.2RG,27.2RG,329.4,524.1,,,,,,,,,,
130,1,0.1021,80.1RG,215.1RG,354.2RG,538.2RG,102.4RG,,,,,,,,,,,
131,1,0.0997,38.4RG,103.2RG,41.5RG,169.4RG,448.4,,,,,,,,,,,
132,1,0.195,421.4RG,7.4RG,76.2RG,55.3RG,205.5RG,310.3RG,,,,,,,,,,
133,0.4804,0.0477,396.2RG,277.1RG,96.1RG,368.4RG,338.3,137.3,272.2,,,,,,,,,
134,1,0.0993,31.3RG,77.2RG,422.3,,,,,,,,,,,,,
135,1,0.0996,192.5RG,447.3RG,73.3RG,164.2RG,230.3,17.2,,,,,,,,,,
136,1,0.2953,314.3RG,219.4RG,137.2RG,68.2RG,112.5RG,126.2RG,,,,,,,,,,
137,0.9633,0.0949,392.2RG,254.3RG,249.2RG,62.1,384.1,323.5,386.5,,,,,,,,,
138,1,0.1183,38.5RG,411.2RG,147.5RG,149.3RG,458.1RG,4.4RG,359.1RG,,,,,,,,,
139,1,0.1004,216.4RG,145.3RG,41.1RG,288.3,346.4,143.5,240.5,,,,,,,,,
140,1,0.099,99.2RG,137.4RG,351.4RG,239.4RG,175.4,51.1,116.3,,,,,,,,,
141,1,0.1,32.5RG,334.3RG,444.3RG,482.3RG,379.4RG,490.3,468.3,,,,,,,,,
142,1,0.3244,223.4RG,154.1RG,89.1RG,398.2RG,,,,,,,,,,,,
143,1,0.0946,282.2RG,416.4RG,491.3RG,,,,,,,,,,,,,
144,1,0.0995,238.4RG,66.1RG,438.3RG,34.1RG,273.2,,,,,,,,,,,
145,1,0.2365,341.5RG,404.5RG,402.4RG,190.4RG,425.2,,,,,,,,,,,
146,1,0.0984,110.2RG,456.2RG,289.3,109.4,288.4,,,,,,,,,,,
147,1,0.0988,296.4RG,10.3RG,131.2,544.2,299.5,362.5,367.3,372.2,,,,,,,,
148,1,0.0999,516.2RG,57.1RG,162.2RG,367.2RG,473.3RG,66.5,,,,,,,,,,
149,1,0.0803,496.2RG,324.4RG,247.3RG,420.4RG,,,,,,,,,,,,
150,1,0.0984,247.1RG,113.5RG,91.1,366.3,183.4,,,,,,,,,,,
151,1,0.1291,20.3RG,113.3RG,118.4RG,104.3RG,101.1,43.4,,,,,,,,,,
152,1,0.0989,271.4RG,13.4RG,20.4RG,258.2RG,7.3RG,411.4RG,174.1,458.2,,,,,,,,
153,1,0.0995,176.1RG,68.4RG,207.4RG,147.3,376.3,23.2,392.1,,,,,,,,,
154,1,0.0994,264.2RG,105.1RG,506.2RG,306.3RG,297.2,306.1,,,,,,,,,,
155,1,0.0994,375.4RG,303.2RG,262.5,322.5,385.5,28.2,391.1,,,,,,,,,
156,0.9524,0.0944,471.1RG,52.4RG,83.4RG,75.2RG,241.3,269.4,227.4,408.4,118.1,,,,,,,
157,1,0.3418,307.5RG,370.5RG,281.4RG,200.1RG,293.2,413.4,,,,,,,,,,
158,1,0.0899,242.4RG,140.4RG,319.5RG,382.5RG,403.3RG,204.3RG,211.1,,,,,,,,,
159,1,0.0994,122.5RG,155.5RG,287.3RG,253.2,342.2,447.2,343.1,378.2,489.3,71.1,,,,,,
160,1,0.0955,443.3RG,209.4RG,438.1,,,,,,,,,,,,,
161,1,0.0985,120.2RG,443.4RG,113.1RG,,,,,,,,,,,,,
162,1,0.1017,316.3RG,387.1RG,474.1RG,442.1RG,50.1,,,,,,,,,,,
163,1,0.0891,428.4RG,214.4RG,,,,,,,,,,,,,,
164,1,0.1067,488.1RG,368.3RG,519.1RG,409.2RG,355.4,,,,,,,,,,,
165,1,0.0985,223.2RG,149.2RG,350.2,125.5,1.3,166.3,,,,,,,,,,
166,1,0.0983,104.1RG,385.4RG,290.2,,,,,,,,,,,,,
167,1,0.0982,389.4RG,203.3,275.3,229.3,245.3,148.2,364.2,165.1,416.1,,,,,,,
168,1,0.1016,146.4RG,56.4RG,243.2RG,122.1,359.4,322.1,,,,,,,,,,
169,1,0.0992,128.4RG,454.2RG,139.5,224.2,,,,,,,,,,,,
170,0.5707,0.0567,22.2RG,144.5RG,39.4RG,347.4RG,244.4,46.1,417.1,1.1,44.1,,,,,,,
