old fam,,,,,,,,,,,,,
50,1,0.1863,213.3RGQL,226.3RGQL,28.3RGQL,379.3QL,225.3QL,,,,,,
51,1,0.1697,386.3RGQL,328.3RGQL,93.3RGQL,170.3QL,355.3QL,141.3QL,,,,,
52,1,0.4563,53.3RGQL,254.3RGQL,491.3RGQL,191.3QL,338.3QL,,,,,,
53,0.7882,0.0811,132.3RGQL,359.3QL,142.3QL,172.3QL,343.3QL,122.3QL,,,,,
54,0.998,0.245,320.3RGQL,396.3RGQL,18.3QL,,,,,,,,
55,1,0.1406,409.3RGQL,327.3RGQL,253.3QL,,,,,,,,
56,1,0.0473,429.3RGQL,126.3QL,81.3QL,,,,,,,,
57,0.9653,0.1262,462.3RGQL,149.3RGQL,70.3RGQL,83.3QL,,,,,,,
58,0.3993,0.0386,25.3RGQL,185.3QL,236.3QL,,,,,,,,
59,0.9908,0.0934,273.3RGQL,7.3RGQL,195.3RGQL,376.3QL,398.3QL,224.3QL,,,,,
60,1,0.0761,456.3RGQL,475.3RGQL,,,,,,,,,
61,0.8187,0.0646,381.3RGQL,466.3RGQL,488.3QL,45.3QL,,,,,,,
62,1,0.3391,175.3RGQL,98.3RGQL,293.3QL,389.3QL,90.3QL,,,,,,
63,0.9953,0.1869,206.3RGQL,382.3RGQL,147.3QL,71.3QL,121.3QL,,,,,,
64,0.271,0.0111,201.3RGQL,437.3RGQL,169.3QL,138.3QL,,,,,,,
65,0.571,0.1939,10.3RGQL,321.3QL,367.3QL,36.3QL,212.3QL,451.3QL,417.3QL,192.3QL,1.3QL,166.3QL,
66,1,0.4383,414.3RGQL,425.3RGQL,481.3RGQL,390.3QL,100.3QL,483.3QL,,,,,
67,0.4192,0.0389,174.3RGQL,248.3RGQL,244.3QL,,,,,,,,
68,1,0.0962,344.3RGQL,436.3QL,159.3QL,123.3QL,88.3QL,,,,,,
69,0.9926,0.0993,73.3RGQL,124.3RGQL,246.3QL,27.3QL,454.3QL,,,,,,
70,1,0.1364,55.3RGQL,228.3RGQL,310.3RGQL,309.3QL,322.3QL,441.3QL,340.3QL,,,,
71,1,0.5672,3.3RGQL,428.3RGQL,207.3RGQL,155.3QL,47.3QL,,,,,,
72,0.9497,0.1094,346.3RGQL,208.3RGQL,108.3QL,177.3QL,,,,,,,
73,1,0.1931,4.3RGQL,319.3QL,450.3QL,13.3QL,383.3QL,307.3QL,270.3QL,106.3QL,,,
74,1,0.0871,221.3RGQL,263.3RGQL,109.3QL,341.3QL,,,,,,,
75,1,0.3344,165.3RGQL,59.3QL,79.3QL,216.3QL,412.3QL,217.3QL,397.3QL,,,,
76,1,0.1021,306.3RGQL,271.3QL,464.3QL,415.3QL,,,,,,,
77,0.8509,0.0813,477.3RGQL,292.3QL,139.3QL,,,,,,,,
78,1,0.2013,176.3RGQL,16.3QL,274.3QL,137.3QL,366.3QL,,,,,,
79,0.9887,0.0357,30.3RGQL,80.3RGQL,136.3QL,199.3QL,416.3QL,,,,,,
80,1,0.1129,473.3RGQL,120.3QL,421.3QL,,,,,,,,
81,1,0.095,11.3RGQL,251.3QL,241.3QL,,,,,,,,
82,1,0.0953,460.3RGQL,405.3QL,364.3QL,,,,,,,,
83,1,0.1499,490.3QL,105.3QL,262.3QL,470.3QL,468.3QL,311.3QL,,,,,
84,1,0.1055,97.3QL,388.3QL,318.3QL,219.3QL,434.3QL,24.3QL,,,,,
85,0.9157,0.1005,296.3QL,259.3QL,114.3QL,370.3QL,495.3QL,78.3QL,315.3QL,276.3QL,,,
86,1,0.0328,485.3QL,419.3QL,153.3QL,196.3QL,202.3QL,173.3QL,197.3QL,250.3QL,,,
87,0.8493,0.0845,116.3QL,350.3QL,37.3QL,96.3QL,493.3QL,489.3QL,,,,,
88,0.9957,0.1148,41.3QL,19.3QL,164.3QL,401.3QL,103.3QL,298.3QL,,,,,
89,0.9618,0.0997,484.3QL,235.3QL,492.3QL,260.3QL,385.3QL,277.3QL,,,,,
90,1,0.0657,297.3QL,391.3QL,150.3QL,335.3QL,312.3QL,198.3QL,342.3QL,281.3QL,,,
91,0.9817,0.3248,435.3QL,140.3QL,85.3QL,161.3QL,133.3QL,222.3QL,62.3QL,,,,
92,1,0.1072,127.3QL,459.3QL,94.3QL,51.3QL,194.3QL,,,,,,
93,0.2823,0.0437,12.3QL,487.3QL,461.3QL,465.3QL,400.3QL,283.3QL,399.3QL,373.3QL,,,
94,0.3321,0.033,418.3QL,354.3QL,72.3QL,266.3QL,125.3QL,144.3QL,182.3QL,,,,
95,0.3005,0.0297,331.3QL,239.3QL,349.3QL,102.3QL,377.3QL,,,,,,
96,0.9868,0.0971,178.3QL,2.3QL,66.3QL,158.3QL,38.3QL,413.3QL,205.3QL,,,,
97,1,0.0977,356.3QL,210.3QL,134.3QL,9.3QL,486.3QL,,,,,,
98,0.9992,0.0987,238.3QL,442.3QL,308.3QL,353.3QL,154.3QL,189.3QL,299.3QL,433.3QL,,,
99,0.9759,0.0293,60.3QL,252.3QL,257.3QL,302.3QL,57.3QL,264.3QL,231.3QL,272.3QL,203.3QL,275.3QL,280.3QL
100,1,0.0955,471.3QL,375.3QL,39.3QL,87.3QL,,,,,,,
101,0.9553,0.093,211.3QL,255.3QL,305.3QL,135.3QL,268.3QL,35.3QL,,,,,
102,0.9973,0.1313,445.3QL,478.3QL,15.3QL,188.3QL,448.3QL,130.3QL,387.3QL,472.3QL,,,
103,0.9303,0.0945,279.3QL,332.3QL,69.3QL,372.3QL,479.3QL,229.3QL,245.3QL,,,,
104,0.2976,0.0285,345.3QL,157.3QL,184.3QL,74.3QL,269.3QL,,,,,,
