Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
206,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0.4243278351260509
210,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7100281378519226
212,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0.4243278351260509
213,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.5257060830333564
214,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0015654022580025018
217,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.5257060830333564
219,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0.28042097222936935
221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.7100281378519226
222,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.7872806277783464
223,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.2825564792379549
224,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8662133726349168
228,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.11384629800665769
229,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
231,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.21156368670330417
232,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.038433930236781766
233,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.5257060830333564
235,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.276822714688858
236,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7100281378519226
237,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.5257060830333564
238,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
239,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0.011139332097004129
240,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
241,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0.4243278351260509
242,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7100281378519226
244,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.11384629800665769
245,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.11384629800665791
248,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0.7872806277783466
250,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0.5257060830333564
251,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.0015654022580025018
252,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.5257060830333564
253,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0.8899519866505379
254,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.5626156686992476
255,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
257,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
258,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0.8899519866505381
259,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8662133726349168
260,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.11384629800665813
261,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0.8899519866505381
262,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.3621872099189858e-06
264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665813
265,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.038433930236781544
266,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7100281378519226
